x_m,y_m  # Perfil superior (revolución eje x).
7.881846155603642323e-01,5.211387562535336332e-02
7.902360325632565852e-01,5.179109253793918316e-02
7.922874495661489380e-01,5.146287865342113327e-02
7.943388665690411798e-01,5.112931576958016505e-02
7.963902835719336437e-01,5.079048701727995052e-02
7.984417005748258855e-01,5.044647683974901042e-02
8.004931175777182384e-01,5.009737097153565272e-02
8.025445345806105912e-01,4.974325641714112678e-02
8.045959515835029441e-01,4.938422142933628772e-02
8.066473685863952969e-01,4.902035548716715541e-02
8.086987855892876498e-01,4.865174927365485680e-02
8.107502025921800026e-01,4.827849465319550282e-02
8.128016195950723555e-01,4.790068464866568260e-02
8.148530365979647083e-01,4.751841341823918180e-02
8.169044536008569501e-01,4.713177623192084387e-02
8.189558706037493030e-01,4.674086944780320163e-02
8.210072876066416558e-01,4.634579048805211043e-02
8.230587046095340087e-01,4.594663781462703794e-02
8.251101216124263615e-01,4.554351090474232505e-02
8.271615386153187144e-01,4.513651022607532287e-02
8.292129556182110672e-01,4.472573721172780348e-02
8.312643726211033091e-01,4.431129423494668818e-02
8.333157896239957729e-01,4.389328458361042851e-02
8.353672066268880148e-01,4.347181243448760418e-02
8.374186236297803676e-01,4.304698282727379560e-02
8.394700406326727204e-01,4.261890163841352414e-02
8.415214576355650733e-01,4.218767555471367170e-02
8.435728746384574261e-01,4.175341204675479118e-02
8.456242916413497790e-01,4.131621934210728125e-02
8.476757086442421318e-01,4.087620639835874009e-02
8.497271256471344847e-01,4.043348287595947138e-02
8.517785426500268375e-01,3.998815911089283193e-02
8.538299596529190794e-01,3.954034608717714450e-02
8.558813766558115432e-01,3.909015540920617732e-02
8.579327936587037851e-01,3.863769927393499726e-02
8.599842106615961379e-01,3.818309044291810089e-02
8.620356276644884908e-01,3.772644221420689420e-02
8.640870446673808436e-01,3.726786839411349445e-02
8.661384616702731964e-01,3.680748326884770300e-02
8.681898786731655493e-01,3.634540157603457361e-02
8.702412956760579021e-01,3.588173847611934864e-02
8.722927126789501440e-01,3.541660952366706278e-02
8.743441296818424968e-01,3.495013063856398233e-02
8.763955466847348497e-01,3.448241807712782575e-02
8.784469636876272025e-01,3.401358840313437049e-02
8.804983806905195554e-01,3.354375845876723938e-02
8.825497976934119082e-01,3.307304533549839526e-02
8.846012146963042611e-01,3.260156634490653238e-02
8.866526316991966139e-01,3.212943898944047721e-02
8.887040487020889667e-01,3.165678093313523817e-02
8.907554657049812086e-01,3.118370997228758074e-02
8.928068827078736724e-01,3.071034400609871581e-02
8.948582997107659143e-01,3.023680100729140077e-02
8.969097167136582671e-01,2.976319899270860742e-02
8.989611337165506200e-01,2.928965599390128544e-02
9.010125507194429728e-01,2.881629002771242051e-02
9.030639677223353257e-01,2.834321906686475614e-02
9.051153847252276785e-01,2.787056101055951710e-02
9.071668017281200314e-01,2.739843365509347928e-02
9.092182187310122732e-01,2.692695466450160599e-02
9.112696357339047371e-01,2.645624154123276187e-02
9.133210527367969789e-01,2.598641159686562729e-02
9.153724697396893317e-01,2.551758192287216856e-02
9.174238867425816846e-01,2.504986936143601892e-02
9.194753037454740374e-01,2.458339047633294194e-02
9.215267207483663903e-01,2.411826152388065955e-02
9.235781377512587431e-01,2.365459842396543111e-02
9.256295547541510960e-01,2.319251673115229131e-02
9.276809717570434488e-01,2.273213160588650333e-02
9.297323887599356906e-01,2.227355778579310358e-02
9.317838057628280435e-01,2.181690955708190729e-02
9.338352227657203963e-01,2.136230072606500746e-02
9.358866397686127492e-01,2.090984459079381352e-02
9.379380567715051020e-01,2.045965391282284634e-02
9.399894737743974549e-01,2.001184088910717279e-02
9.420408907772898077e-01,1.956651712404052987e-02
9.440923077801821606e-01,1.912379360164126810e-02
9.461437247830744024e-01,1.868378065789271653e-02
9.481951417859668663e-01,1.824658795324520660e-02
9.502465587888591081e-01,1.781232444528633302e-02
9.522979757917514609e-01,1.738109836158648058e-02
9.543493927946438138e-01,1.695301717272621259e-02
9.564008097975361666e-01,1.652818756551239360e-02
9.584522268004285195e-01,1.610671541638956580e-02
9.605036438033207613e-01,1.568870576505332348e-02
9.625550608062132252e-01,1.527426278827219257e-02
9.646064778091054670e-01,1.486348977392467838e-02
9.666578948119979309e-01,1.445648909525767273e-02
9.687093118148901727e-01,1.405336218537295984e-02
9.707607288177825255e-01,1.365420951194789602e-02
9.728121458206748784e-01,1.325913055219679788e-02
9.748635628235672312e-01,1.286822376807915738e-02
9.769149798264595841e-01,1.248158658176080731e-02
9.789663968293519369e-01,1.209931535133432212e-02
9.810178138322442898e-01,1.172150534680450711e-02
9.830692308351365316e-01,1.134825072634514792e-02
9.851206478380289955e-01,1.097964451283283890e-02
9.871720648409212373e-01,1.061577857066370312e-02
9.892234818438137012e-01,1.025674358285887273e-02
9.912748988467059430e-01,9.902629028464350266e-03
9.933263158495982958e-01,9.553523160250990826e-03
9.953777328524906487e-01,9.209512982720047258e-03
9.974291498553830015e-01,8.870684230419830993e-03
9.994805668582753544e-01,8.537121346578864511e-03
1.001531983861167596e+00,8.208907462060816354e-03
1.003583400864060060e+00,7.886124374646636195e-03
1.005634817866952302e+00,7.568852528648728137e-03
1.007686234869844766e+00,7.257170994862639606e-03
1.009737651872737008e+00,6.951157450860879355e-03
1.011789068875629471e+00,6.650888161634098232e-03
1.013840485878521713e+00,6.356437960584231453e-03
1.015891902881413955e+00,6.067880230874420598e-03
1.017943319884306419e+00,5.785286887140442431e-03
1.019994736887198883e+00,5.508728357568027333e-03
1.022046153890091125e+00,5.238273566340712929e-03
1.024097570892983367e+00,4.973989916462476929e-03
1.026148987895875830e+00,4.715943272959481625e-03
1.028200404898768072e+00,4.464197946465163665e-03
1.030251821901660536e+00,4.218816677192640738e-03
1.032303238904552778e+00,3.979860619298557743e-03
1.034354655907445242e+00,3.747389325642191873e-03
1.036406072910337484e+00,3.521460732943591798e-03
1.038457489913229725e+00,3.302131147344593374e-03
1.040508906916122189e+00,3.089455230376094569e-03
1.042560323919014431e+00,2.883485985335293260e-03
1.044611740921906895e+00,2.684274744076133555e-03
1.046663157924799137e+00,2.491871154216336419e-03
1.048714574927691601e+00,2.306323166764181337e-03
1.050765991930583843e+00,2.127677024168083027e-03
1.052817408933476084e+00,1.955977248792050132e-03
